实体1,实体2,关系
LightGBM亮点,"互斥稀疏特征绑定ExclusiveFeatureBundling(EFB)：从减少特征角度，把尽可能互斥的特征进行合并，比如特征A\[0,10],特征B\[0,20],可以把B+10后与A合并，得到新特征A+B\[0,30]",question2answer
xgboost对比gbdt/boosting Tree有了哪些方向上的优化？,显示的把树模型复杂度作为正则项加到优化目标中,question2answer
xgboost对比gbdt/boosting Tree有了哪些方向上的优化？,优化目标计算中用到二阶泰勒展开代替一阶，更加准确,question2answer
xgboost对比gbdt/boosting Tree有了哪些方向上的优化？,实现了分裂点寻找近似算法,question2answer
xgboost对比gbdt/boosting Tree有了哪些方向上的优化？,暴力枚举,question2answer
xgboost对比gbdt/boosting Tree有了哪些方向上的优化？,近似算法（分桶）,question2answer
xgboost对比gbdt/boosting Tree有了哪些方向上的优化？,更加高效和快速,question2answer
xgboost对比gbdt/boosting Tree有了哪些方向上的优化？,数据事先排序并且以block形式存储，有利于并行计算,question2answer
xgboost对比gbdt/boosting Tree有了哪些方向上的优化？,基于分布式通信框架rabit，可以运行在MPI和yarn上,question2answer
xgboost对比gbdt/boosting Tree有了哪些方向上的优化？,实现做了面向体系结构的优化，针对cache和内存做了性能优化,question2answer
xgboost和gbdt的区别？,模型优化上：,question2answer
xgboost和gbdt的区别？,基模型的优化：,question2answer
xgboost和gbdt的区别？,gbdt用的是cart回归树作为基模型，xgboost还可以用线性模型，加上天生的正则项，就是带L1和L2逻辑回归(分类)和线性回归(回归),question2answer
xgboost和gbdt的区别？,损失函数上的优化：,question2answer
xgboost和gbdt的区别？,gbdt对loss是泰勒一阶展开，xgboost是泰勒二阶展开,question2answer
xgboost和gbdt的区别？,gbdt没有在loss中带入结点个数和预测值的正则项,question2answer
xgboost和gbdt的区别？,特征选择上的优化：,question2answer
xgboost和gbdt的区别？,实现了一种分裂节点寻找的近似算法，用于加速和减小内存消耗，而不是gbdt的暴力搜索,question2answer
xgboost和gbdt的区别？,节点分裂算法解决了缺失值方向的问题，gbdt则是沿用了cart的方法进行加权,question2answer
xgboost和gbdt的区别？,正则化的优化：,question2answer
xgboost和gbdt的区别？,特征采样,question2answer
xgboost和gbdt的区别？,样本采样,question2answer
xgboost和gbdt的区别？,工程优化上：,question2answer
xgboost和gbdt的区别？,xgboost在对特征进行了分block预排序，使得在做特征分裂的时候，最终选增益最大的那个特征去做分裂，那么各个特征的增益计算就可以开多线程进行,question2answer
xgboost和gbdt的区别？,"cacheaware,outofcorecomputation",question2answer
xgboost和gbdt的区别？,支持分布式计算可以运行在MPI，YARN上，得益于底层支持容错的分布式通信框架rabit,question2answer
xgboost优化目标/损失函数改变成什么样？,原始：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g94mjezeisj307401fmx0.jpg),question2answer
xgboost优化目标/损失函数改变成什么样？,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g94mnp3fd7j301700idfl.jpg)为泰勒一阶展开，![](https://tva1.sinaimg.cn/large/006y8mN6gy1g94mrtqxv0j30480173yc.jpg),question2answer
xgboost优化目标/损失函数改变成什么样？,改变：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g94mldvhz5j30ay01k3yf.jpg),question2answer
xgboost优化目标/损失函数改变成什么样？,J为叶子结点的个数，![](https://tva1.sinaimg.cn/large/006y8mN6gy1g94mo56g1vj300o00e0s1.jpg)为第j个叶子结点中的最优值,question2answer
xgboost优化目标/损失函数改变成什么样？,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g94mnp3fd7j301700idfl.jpg)为泰勒二阶展开，![](https://tva1.sinaimg.cn/large/006y8mN6gy1g94mtjds7qj309r0193yg.jpg),question2answer
xgboost如何使用MAE或MAPE作为目标函数？,MAE:![](https://tva1.sinaimg.cn/large/006y8mN6gy1g94mxhhvg8j303l011q2q.jpg),question2answer
xgboost如何使用MAE或MAPE作为目标函数？,MAPE:![](https://tva1.sinaimg.cn/large/006y8mN6gy1g94mx7uyuej303f0170sj.jpg),question2answer
xgboost如何使用MAE或MAPE作为目标函数？,利用可导的函数逼近MAE或MAPE,question2answer
xgboost如何使用MAE或MAPE作为目标函数？,mse,question2answer
xgboost如何使用MAE或MAPE作为目标函数？,Huberloss,question2answer
xgboost如何使用MAE或MAPE作为目标函数？,PseudoHuberloss,question2answer
xgboost如何寻找分裂节点的候选集？,暴力枚举,question2answer
xgboost如何寻找分裂节点的候选集？,法尝试所有特征和所有分裂位置，从而求得最优分裂点。当样本太大且特征为连续值时，这种暴力做法的计算量太大,question2answer
xgboost如何寻找分裂节点的候选集？,近似算法（approx）,question2answer
xgboost如何寻找分裂节点的候选集？,近似算法寻找最优分裂点时不会枚举所有的特征值，而是对特征值进行聚合统计，然后形成若干个桶。然后仅仅将桶边界上的特征的值作为分裂点的候选，从而获取计算性能的提升,question2answer
xgboost如何寻找分裂节点的候选集？,离散值直接分桶,question2answer
xgboost如何寻找分裂节点的候选集？,连续值分位数分桶,question2answer
xgboost如何处理缺失值？,训练时：缺失值数据会被分到左子树和右子树分别计算损失，选择较优的那一个,question2answer
xgboost如何处理缺失值？,预测时：如果训练中没有数据缺失，预测时出现了数据缺失，那么默认被分类到右子树,question2answer
xgboost在计算速度上有了哪些点上提升？,特征预排序,question2answer
xgboost在计算速度上有了哪些点上提升？,按特征进行存储，每一个block代表一个特征的值，样本在该block中按照它在该特征的值排好序。这些block只需要在程序开始的时候计算一次，后续排序只需要线性扫描这些block即可,question2answer
xgboost在计算速度上有了哪些点上提升？,block可以仅存放样本的索引，而不是样本本身，这样节省了大量的存储空间,question2answer
xgboost特征重要性是如何得到的？,’weight‘：代表着某个特征被选作分裂结点的次数；,question2answer
xgboost特征重要性是如何得到的？,’gain‘：使用该特征作为分类结点的信息增益；,question2answer
xgboost特征重要性是如何得到的？,’cover‘：某特征作为划分结点，覆盖样本总数的平均值；,question2answer
XGBoost中如何对树进行剪枝？,在目标函数中增加了正则项：叶子结点树+叶子结点权重的L2模的平方,question2answer
XGBoost中如何对树进行剪枝？,在结点分裂时，定义了一个阈值，如果分裂后目标函数的增益小于该阈值，则不分裂,question2answer
XGBoost中如何对树进行剪枝？,当引入一次分裂后，重新计算新生成的左、右两个叶子结点的样本权重和。如果任一个叶子结点的样本权重低于某一个阈值（最小样本权重和），也会放弃此次分裂,question2answer
XGBoost中如何对树进行剪枝？,XGBoost先从顶到底建立树直到最大深度，再从底到顶反向检查是否有不满足分裂条件的结点，进行剪枝,question2answer
XGBoost模型如果过拟合了怎么解决？,直接修改模型：,question2answer
XGBoost模型如果过拟合了怎么解决？,降低树的深度,question2answer
XGBoost模型如果过拟合了怎么解决？,增大叶子结点的权重,question2answer
XGBoost模型如果过拟合了怎么解决？,增大惩罚系数,question2answer
XGBoost模型如果过拟合了怎么解决？,subsample的力度变大，降低异常点的影响,question2answer
XGBoost模型如果过拟合了怎么解决？,减小learningrate，提高estimator,question2answer
xgboost如何调参数？,先确定learningrate和estimator,question2answer
xgboost如何调参数？,再确定每棵树的基本信息，max_depth和min_child_weight,question2answer
xgboost如何调参数？,再确定全局信息：比如最小分裂增益，子采样参数，正则参数,question2answer
xgboost如何调参数？,重新降低learningrate，得到最优解,question2answer
Attention对比RNN和CNN，分别有哪点你觉得的优势？,对比RNN的是，RNN是基于马尔可夫决策过程，决策链路太短，且单向,question2answer
Attention对比RNN和CNN，分别有哪点你觉得的优势？,对比CNN的是，CNN基于的是窗口式捕捉，没有受限于窗口大小，局部信息获取，且无序,question2answer
写出Attention的公式？,![](https://tva1.sinaimg.cn/large/006y8mN6ly1g986pbyaj0j308t019t8l.jpg),question2answer
解释你怎么理解Attention的公式的？,"Q:![](https://tva1.sinaimg.cn/large/006y8mN6ly1g986rjgs7qj301400g741.jpg),K:![](https://tva1.sinaimg.cn/large/006y8mN6ly1g986rz9d1ej301a00g741.jpg),V:![](https://tva1.sinaimg.cn/large/006y8mN6ly1g986shjz4tj301900g741.jpg)",question2answer
解释你怎么理解Attention的公式的？,首先，我们可以理解为Attention把input重新进行了一轮编码，获得一个新的序列,question2answer
解释你怎么理解Attention的公式的？,除以![](https://tva1.sinaimg.cn/large/006y8mN6ly1g98734eqn7j300y00na9t.jpg)的目的是为了平衡qk的值，避免softmax之后过小,question2answer
解释你怎么理解Attention的公式的？,qk除了点击还可以直接拼接再内接一个参数变量等等,question2answer
解释你怎么理解Attention的公式的？,MultiAttention只是重复了h次的Attention，最后把结果进行拼接,question2answer
Attention模型怎么避免词袋模型的顺序问题的困境的？,增加了positionEmbedding,question2answer
Attention模型怎么避免词袋模型的顺序问题的困境的？,可以直接随机初始化,question2answer
Attention模型怎么避免词袋模型的顺序问题的困境的？,也可以参考Google的sin/cos位置初始化方法,question2answer
Attention模型怎么避免词袋模型的顺序问题的困境的？,如此选取的原因之一是sin(a+b)=sin(a)cos(b)+cos(a)sin(b)。这很好的保证了位置p+k可以表示成p的线性变换，相对位置可解释,question2answer
"Attention机制，里面的q,k,v分别代表什么？",Q：指的是query，相当于decoder的内容,question2answer
"Attention机制，里面的q,k,v分别代表什么？",K：指的是key，相当于encoder的内容,question2answer
"Attention机制，里面的q,k,v分别代表什么？",V：指的是value，相当于encoder的内容,question2answer
"Attention机制，里面的q,k,v分别代表什么？",q和k对齐了解码端和编码端的信息相似度，相似度的值进行归一化后会生成对齐概率值（注意力值）。V对应的是encoder的内容，刚说了attention是对encoder对重编码，qk完成权重重新计算，v复制重编码,question2answer
为什么self-attention可以替代seq2seq？,seq2seq最大的问题在于将Encoder端的所有信息压缩到一个固定长度的向量中，并将其作为Decoder端首个隐藏状态的输入，来预测Decoder端第一个单词(token)的隐藏状态。在输入序列比较长的时候，这样做显然会损失Encoder端的很多信息，而且这样一股脑的把该固定向量送入Decoder端，Decoder端不能够关注到其想要关注的信息,question2answer
为什么self-attention可以替代seq2seq？,selfattention让源序列和目标序列首先“自关联”起来，这样的话，源序列和目标序列自身的embedding表示所蕴含的信息更加丰富，而且后续的FFN层也增强了模型的表达能力，并且Transformer并行计算的能力是远远超过seq2seq系列的模型,question2answer
维度与点积大小的关系是怎么样的，为什么使用维度的根号来放缩?,假设向量q和k的各个分量是互相独立的随机变量，均值是0，方差是1，那么点积qk的均值是0，方差是dk,question2answer
维度与点积大小的关系是怎么样的，为什么使用维度的根号来放缩?,"针对Q和K中的每一维i都有qi和ki相互独立且均值0方差1，不妨记![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9envjoy8oj301h00gdfl.jpg),![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9envuw3p0j301g00ga9t.jpg)",question2answer
维度与点积大小的关系是怎么样的，为什么使用维度的根号来放缩?,E(XY)=E(X)E(Y)=0,question2answer
维度与点积大小的关系是怎么样的，为什么使用维度的根号来放缩?,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9enzh4vzvj30gh017t8t.jpg),question2answer
维度与点积大小的关系是怎么样的，为什么使用维度的根号来放缩?,所以k维度上的qk方差会为dk，均值为0，用维度的根号来放缩，使得标准化,question2answer
你觉得bn过程是什么样的？,按batch进行期望和标准差计算,question2answer
你觉得bn过程是什么样的？,对整体数据进行标准化,question2answer
你觉得bn过程是什么样的？,对标准化的数据进行线性变换,question2answer
你觉得bn过程是什么样的？,变换系数需要学习,question2answer
手写一下bn过程？,"mu=1.0*np.sum(X,axis=0)/X.shape\[0]",question2answer
手写一下bn过程？,Xmu=Xmu,question2answer
手写一下bn过程？,sq=Xmu**2,question2answer
手写一下bn过程？,"var=1.0*np.sum(sq,axis=0)/X.shape\[0]",question2answer
手写一下bn过程？,out=alhpa*(XXmu)/np.sqrt(var+eps)+beta,question2answer
知道LN么？讲讲原理,和bn过程近似，只是作用的方向是在维度上，而不是batch上,question2answer
知道LN么？讲讲原理,这样做的好处就是不会受到batch大小不一致的影响,question2answer
介绍残差网络,常见结构，CV里面用的比较多,question2answer
介绍残差网络,y=F(x)+x,question2answer
介绍残差网络,y=F(x)+indentity`*`x,question2answer
残差网络为什么能解决梯度消失的问题,![](https://tva1.sinaimg.cn/large/006tNbRwly1g9is4x344xj304j01jglf.jpg),question2answer
残差网络为什么能解决梯度消失的问题,![](https://tva1.sinaimg.cn/large/006tNbRwly1g9is8cigikj305s0180sl.jpg),question2answer
残差网络为什么能解决梯度消失的问题,虽然是对![](https://tva1.sinaimg.cn/large/006tNbRwly1g9is8rtnxuj300l00k3y9.jpg)求偏导数，但是存在一项只和![](https://tva1.sinaimg.cn/large/006tNbRwly1g9is984bi0j300l00k3y9.jpg)相关的项，之间避免了何中间权重矩阵变换导致梯度消失的问题,question2answer
残差网络残差作用,防止梯度消失,question2answer
残差网络残差作用,恒等映射使得网络突破层数限制，避免网络退化,question2answer
残差网络残差作用,对输出的变化更敏感,question2answer
残差网络残差作用,X=5;F(X)=5.1;F(X)=H(X)+X=>H(X)=0.1,question2answer
残差网络残差作用,X=5;F(X)=5.2;F(X)=H(X)+X=>H(X)=0.2,question2answer
残差网络残差作用,H(X)变换了100%，去掉相同的主体部分，从而突出微小的变化,question2answer
你平时有用过么？或者你在哪些地方遇到了,我在做xdeepfm的输出层的时候做到了，因为当时做CIN的时候，我设置了layers为5层，担心层数过深造成网络退化，在output的时候加了残差网络,question2answer
你平时有用过么？或者你在哪些地方遇到了,Bert和Transform中attention部分残差网络用的比较频繁,question2answer
Bert的双向体现在什么地方？,mask+attention，mask的word结合全部其他encoderword的信息,question2answer
Bert的是怎样实现mask构造的？,MLM：将完整句子中的部分字mask，预测该mask词,question2answer
Bert的是怎样实现mask构造的？,NSP：为每个训练前的例子选择句子A和B时，50%的情况下B是真的在A后面的下一个句子，50%的情况下是来自语料库的随机句子，进行二分预测是否为真实下一句,question2answer
在数据中随机选择 15% 的标记，其中80%被换位\[mask]，10%不变、10%随机替换其他单词，这样做的原因是什么？,mask只会出现在构造句子中，当真实场景下是不会出现mask的，全mask不match句型了,question2answer
在数据中随机选择 15% 的标记，其中80%被换位\[mask]，10%不变、10%随机替换其他单词，这样做的原因是什么？,随机替换也帮助训练修正了\[unused]和\[UNK],question2answer
在数据中随机选择 15% 的标记，其中80%被换位\[mask]，10%不变、10%随机替换其他单词，这样做的原因是什么？,强迫文本记忆上下文信息,question2answer
为什么BERT有3个嵌入层，它们都是如何实现的？,input_id是语义表达，和传统的w2v一样，方法也一样的lookup,question2answer
为什么BERT有3个嵌入层，它们都是如何实现的？,"segment_id是辅助BERT区别句子对中的两个句子的向量表示，从\[1,embedding_size]里面lookup",question2answer
为什么BERT有3个嵌入层，它们都是如何实现的？,"position_id是为了获取文本天生的有序信息，否则就和传统词袋模型一样了，从\[511,embedding_size]里面lookup",question2answer
bert的损失函数？,"MLM:在encoder的输出上添加一个分类层,用嵌入矩阵乘以输出向量，将其转换为词汇的维度,用softmax计算mask中每个单词的概率",question2answer
bert的损失函数？,"NSP:用一个简单的分类层将\[CLS]标记的输出变换为2×1形状的向量,用softmax计算IsNextSequence的概率",question2answer
bert的损失函数？,MLM+NSP即为最后的损失,question2answer
手写一个multi-head attention？,"tf.multal(tf.nn.softmax(tf.multiply(tf.multal(q,k,transpose_b=True),1/math.sqrt(float(size_per_head)))),v)",question2answer
长文本预测如何构造Tokens？,headonly：保存前510个token（留两个位置给\[CLS]和\[SEP]）,question2answer
长文本预测如何构造Tokens？,tailonly：保存最后510个token,question2answer
长文本预测如何构造Tokens？,head+tail：选择前128个token和最后382个token（文本在800以内）或者前256个token+后254个token（文本大于800tokens）,question2answer
你用过什么模块？bert流程是怎么样的？,modeling.py,question2answer
你用过什么模块？bert流程是怎么样的？,"首先定义处理好输入的tokens的对应的id作为input_id,因为不是训练所以input_mask和segment_id都是采取默认的1即可",question2answer
你用过什么模块？bert流程是怎么样的？,在通过embedding_lookup把input_id向量化，如果存在句子之间的位置差异则需要对segment_id进行处理，否则无操作；再进行position_embedding操作,question2answer
你用过什么模块？bert流程是怎么样的？,进入Transform模块，后循环调用transformer的前向过程，次数为隐藏层个数，每次前向过程都包含self_attention_layer、add_and_norm、feed_forward和add_and_norm四个步骤,question2answer
你用过什么模块？bert流程是怎么样的？,输出结果为句向量则取\[cls]对应的向量（需要处理成embedding_size），否则也可以取最后一层的输出作为每个词的向量组合all_encoder_layers\[1],question2answer
知道分词模块：FullTokenizer做了哪些事情么？,BasicTokenizer：根据空格等进行普通的分词,question2answer
知道分词模块：FullTokenizer做了哪些事情么？,包括了一些预处理的方法：去除无意义词，跳过'\t'这些词，unicode变换，中文字符筛选等等,question2answer
知道分词模块：FullTokenizer做了哪些事情么？,WordpieceTokenizer：前者的结果再细粒度的切分为WordPiece,question2answer
知道分词模块：FullTokenizer做了哪些事情么？,中文不处理，因为有词缀一说：解决OOV,question2answer
Bert中如何获得词意和句意？,get_pooled_out代表了涵盖了整条语句的信息,question2answer
Bert中如何获得词意和句意？,get_sentence_out代表了这个获取每个token的output输出，用的是cls向量,question2answer
源码中Attention后实际的流程是如何的？,Transform模块中：在残差连接之前，对output_layer进行了dense+dropout后再合并input_layer进行的layer_norm得到的attention_output,question2answer
源码中Attention后实际的流程是如何的？,所有attention_output得到并合并后，也是先进行了全连接，而后再进行了dense+dropout再合并的attention_output之后才进行layer_norm得到最终的layer_output,question2answer
为什么要在Attention后使用残差结构？,残差结构能够很好的消除层数加深所带来的信息损失问题,question2answer
平时用官方Bert包么？耗时怎么样？,第三方：bert_serving,question2answer
平时用官方Bert包么？耗时怎么样？,官方：bert_base,question2answer
平时用官方Bert包么？耗时怎么样？,耗时：64GTesla，64max_seq_length，8090doc/s,question2answer
平时用官方Bert包么？耗时怎么样？,在线预测只能一条一条的入参，实际上在可承受的计算量内batch越大整体的计算性能性价比越高,question2answer
你觉得BERT比普通LM的新颖点？,mask机制,question2answer
你觉得BERT比普通LM的新颖点？,next_sentence_predict机制,question2answer
elmo、GPT、bert三者之间有什么区别？,特征提取器：elmo采用LSTM进行提取，GPT和bert则采用Transformer进行提取。很多任务表明Transformer特征提取能力强于LSTM，elmo采用1层静态向量+2层LSTM，多层提取能力有限，而GPT和bert中的Transformer可采用多层，并行计算能力强。,question2answer
elmo、GPT、bert三者之间有什么区别？,单/双向语言模型：GPT采用单向语言模型，elmo和bert采用双向语言模型。但是elmo实际上是两个单向语言模型（方向相反）的拼接，这种融合特征的能力比bert一体化融合特征方式弱。,question2answer
elmo、GPT、bert三者之间有什么区别？,GPT和bert都采用Transformer，Transformer是encoderdecoder结构，GPT的单向语言模型采用decoder部分，decoder的部分见到的都是不完整的句子；bert的双向语言模型则采用encoder部分，采用了完整句子,question2answer
阐述CRF原理？,"首先X,Y是随机变量，P(Y/X)是给定X条件下Y的条件概率分布",question2answer
阐述CRF原理？,如果Y满足马尔可夫满足马尔科夫性，及不相邻则条件独立,question2answer
阐述CRF原理？,则条件概率分布P(Y|X)为条件随机场CRF,question2answer
线性链条件随机场的公式是？,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9ah66y1nxj30cr015747.jpg),question2answer
CRF与HMM区别?,"CRF是判别模型求的是p(Y/X),HMM是生成模型求的是P(X,Y)",question2answer
CRF与HMM区别?,CRF是无向图，HMM是有向图,question2answer
CRF与HMM区别?,CRF全局最优输出节点的条件概率，HMM对转移概率和表现概率直接建模，统计共现概率,question2answer
Bert+crf中的各部分作用详解？,Bert把中文文本进行了embedding，得到每个字的表征向量,question2answer
Bert+crf中的各部分作用详解？,dense操作得到了每个文本文本对应的未归一化的tag概率,question2answer
Bert+crf中的各部分作用详解？,CRF在选择每个词的tag的过程其实就是一个最优Tag路径的选择过程,question2answer
Bert+crf中的各部分作用详解？,CRF层能从训练数据中获得约束性的规则,question2answer
Bert+crf中的各部分作用详解？,比如开始都是以xxxB，中间都是以xxxI，结尾都是以xxxE,question2answer
Bert+crf中的各部分作用详解？,比如在只有label1I，label2I..的情况下，不会出现label1B,question2answer
GolVe的损失函数？,![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9achsr4agj3094016a9x.jpg),question2answer
解释GolVe的损失函数？,"其实，一句话解释就是想构造一个向量表征方式，使得向量的点击和共现矩阵中的对应关系一致。因为共现矩阵中的对应关系证明了，存在i，k，j三个不同的文本，如果i和k相关，j和k相关，那么p(i,j)=p(j,k)近似于1，其他情况都过大和过小。",question2answer
为什么GolVe会用的相对比W2V少？,GloVe算法本身使用了全局信息，自然内存费的也就多一些,question2answer
为什么GolVe会用的相对比W2V少？,公现矩阵，NXN的，N为词袋量,question2answer
为什么GolVe会用的相对比W2V少？,W2V的工程实现结果相对来说支持的更多，比如most_similarty等功能,question2answer
如何处理未出现词？,"按照词性进行已知词替换，\[unknown],\[unknowa],\[unknowv]...，然后再进行训练。实际去用的时候，判断词性后直接使用对应的unknown?向量替代",question2answer
详述LDA原理？,从狄利克雷分布α中取样生成文档i的主题分布![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9b8vd6yi8j300c00f0qn.jpg),question2answer
详述LDA原理？,多项式分布的共轭分布是狄利克雷分布,question2answer
详述LDA原理？,二项式分布的共轭分布是Beta分布,question2answer
详述LDA原理？,从主题的多项式![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9b8vd6yi8j300c00f0qn.jpg)分布中取样生成文档i第j个词的主题![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9b8vq647gj300i00e0r3.jpg),question2answer
详述LDA原理？,从狄利克雷分布β中取样生成主题![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9b8vq647gj300i00e0r3.jpg)对应的词语分布![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9b8u1wbj1j300q00j3y9.jpg),question2answer
详述LDA原理？,从词语的多项式分布![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9b8u1wbj1j300q00j3y9.jpg)中采样最终生成词语![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9b8uydisuj300n00e0s0.jpg),question2answer
详述LDA原理？,文档里某个单词出现的概率可以用公式表示：![](https://tva1.sinaimg.cn/large/006y8mN6gy1g9b9y6avdtj306e01jdfo.jpg),question2answer
详述LDA原理？,采用EM方法修正词主题矩阵+主题文档矩阵直至收敛,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,这个问题很难说清楚，一般会揪着细节问，不会在乎你的公式写的是不是完全一致。这部分是LDA的核心，是考验一个nlp工程师的最基础最基础的知识点,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,吉布斯采样,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	先随机给每个词附上主题,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	因为多项式分布的共轭分布是狄利克雷分布，可以根据狄利克雷分布先验分布结合每个词实际的主题满足的多项式分布得到后验狄利克雷分布分布，从而积分得到一文档的主题条件分布，词同理，从而得到每篇文章的主题和词的联合概率分布,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	有了联合概率分布，去除词wi后，就可以得到其他词主题条件概率分布,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	根据条件概率分布使用坐标轮换的吉布斯采样方法，得到词对应的平稳矩阵及词对应的主题,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	收敛后统计文章的词对应的主题，得到文章的主题分布；统计词对应的主题，得到不同主题下词的分布,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,通常会引申出如下几个问题：,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	吉布斯采样是怎么做的？（基于MCMC思想，面对多维特征优化一维特征固定其他维度不变，满足细致平稳性，坐标变换以加快样本集生成速度）,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	MCMC中什么叫做蒙特卡洛方法？,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		通常用于求概率密度的积分,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		用已知分布去评估未知分布,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		rejectacpect过程,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	马尔科夫链收敛性质？,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		非周期性，不能出现死循环,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		连通性，不能有断点,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	MCMC中什么叫做马尔科夫链采样过程？,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		先得到转移矩阵P在N次迭代下收敛到不变的平稳矩阵,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,"		再根据平稳矩阵后的条件概率p(x/xt)得到平稳分布的样本集(xn+1,xn+2...)",question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	给定平稳矩阵如何得到概率分布样本集？,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		MC采样,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,"			给定任意的转移矩阵Q，已知π(i)p(i,j)=π(j)p(j,i)，近似拟合π(i)Q(i,j)a(i,j)=π(j)Q(j,i)a(j,i)",question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,			根据Q的条件概率Q(x/xt)得到xt+1,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,			u~uniform,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,"			u<π(xt+1)Q(xt+1,xt)则accept，就和蒙特模拟一样否则xt+1=xt",question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,"			(xt,xt+1...)代表着我们的分布样本集",question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		MH采样,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,"			左右同乘缩放，更新a(i,j)的计算公式，加快收敛速度",question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		Gibbs采样,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,			同上，差别在固定n−1个特征在某一个特征采样及坐标轮换采样,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	什么叫做坐标转换采样？,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		平面上任意两点满足细致平稳条件π(A)P(A>B)=π(B)P(B>A),question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		从条件概率分布P(x2|x(t)1)中采样得到样本x(t+1)2,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		从条件概率分布P(x1|x(t+1)2)中采样得到样本x(t+1)1,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		其为一对样本，有点像Lasso回归中的固定n1维特征求一维特征求极值的思路,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,变分推断EM算法,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	整体上过程是，LDA中存在隐藏变量主题分布，词分布，实际主题，和模型超参alpha，beta，需要E步求出隐藏变量基于条件概率的期望，在M步最大化这个期望，从而得到alpha，beta,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	变分推断在于隐藏变量没法直接求，**用三个独立分布的变分分步去拟合三个隐藏变量的条件分布**,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		实际去做的时候，用的是kl散度衡量分布之间的相似度，最小化KL散度及相对熵,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,	EM过程,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		E：最小化相对熵，偏导为0得到变分参数,question2answer
LDA中的主题矩阵如何计算?词分布矩阵如何计算？,		M：固定变分参数，梯度下降法，牛顿法得到alpha和beta的值,question2answer
